,i_word,word,prob
0,78,36,0.09262114743311388
1,77,50,0.09180095228358733
2,47,2,0.0896578187992769
3,51,69,0.0800707718056328
4,107,28,0.06312628793142001
5,16,84,0.06092470457375139
6,45,22,0.057168704221659705
7,21,98,0.054883868760379574
8,29,86,0.05460284860991886
9,30,27,0.054164634672614086
10,67,54,0.04144574808595932
11,38,97,0.03753106604518913
12,17,89,0.03198977836364676
13,4,122,0.028620756927311107
14,35,115,0.023480375726033703
15,15,112,0.019307607405837326
16,100,19,0.018635510963319123
17,52,56,0.017614225363990398
18,31,124,0.015061958374353762
19,32,93,0.014426693177700435
20,98,68,0.009101906926734358
21,116,117,0.008086485174991047
22,9,47,0.007615306706116299
23,122,105,0.00688779679002519
24,57,10,0.00502458087603125
25,50,9,0.004555134116393639
26,121,57,0.0035417395986759017
27,106,99,0.0024821399914273915
28,124,41,0.001720506036482255
29,66,21,0.0009275836175442141
30,69,32,0.0006058742355030856
31,26,4,0.0004643396591377553
32,81,16,0.0004006203196262479
33,43,70,0.00027273878938729345
34,44,80,0.00021938941085724637
35,23,38,9.526555291381115e-05
36,22,100,6.063767220049951e-05
37,56,92,5.180504164296985e-05
38,20,94,4.123031155646477e-05
39,111,113,4.045218948042603e-05
40,83,12,3.238503771477871e-05
41,13,58,2.648987141721218e-05
42,14,104,2.4532825093774128e-05
43,41,81,2.3260561085986704e-05
44,54,60,1.6844356793683425e-05
45,18,67,1.6564453538323233e-05
46,12,15,1.5191040136581325e-05
47,59,37,1.4834065076004561e-05
48,11,109,1.3424373050050385e-05
49,101,102,1.0890563311731219e-05
50,27,108,1.0193321303593868e-05
51,2,45,9.653899815782519e-06
52,40,35,9.606030790737445e-06
53,93,73,9.168891383771823e-06
54,10,88,8.238611432997662e-06
55,113,79,7.42644598365928e-06
56,48,55,7.411773929432243e-06
57,53,17,7.313992973260028e-06
58,28,64,7.10815769444203e-06
59,58,3,6.662179676419886e-06
60,84,0,6.4191201347253555e-06
61,37,76,6.406382372907872e-06
62,115,121,6.367494100656076e-06
63,92,101,6.355566417207414e-06
64,82,52,6.303334853201566e-06
65,6,6,6.297002919471117e-06
66,76,96,6.2900796375109725e-06
67,64,78,6.240651954137053e-06
68,46,5,6.187541380554487e-06
69,91,23,6.146648489597303e-06
70,68,106,6.088394651297185e-06
71,79,59,6.078373408467072e-06
72,70,42,6.077877301451941e-06
73,5,1,6.074558988473151e-06
74,7,90,6.048394047215298e-06
75,74,39,6.0355173533031775e-06
76,73,107,6.0224793218684995e-06
77,72,25,6.019252027237726e-06
78,36,44,6.013824190643522e-06
79,80,43,6.0130907296157834e-06
80,105,53,5.996501938961976e-06
81,71,66,5.991809921916393e-06
82,25,14,5.990371866222568e-06
83,112,29,5.988368033663446e-06
84,86,71,5.987900208104391e-06
85,33,119,5.985586053763251e-06
86,34,48,5.98459947400674e-06
87,85,123,5.983637677432844e-06
88,103,103,5.979408157364521e-06
89,49,74,5.97878703394535e-06
90,65,26,5.977233337876831e-06
91,8,34,5.976840016148179e-06
92,104,65,5.9684368907096706e-06
93,42,7,5.96561823128735e-06
94,24,13,5.964246481194438e-06
95,75,85,5.963389578383814e-06
96,108,11,5.962013743927348e-06
97,117,30,5.961562468572926e-06
98,55,18,5.960521771573438e-06
99,99,72,5.9600699592629375e-06
100,39,33,5.958446729391435e-06
101,110,46,5.958293498065108e-06
102,1,110,5.958259449763584e-06
103,96,82,5.9558200556969245e-06
104,123,111,5.9553200999019306e-06
105,19,91,5.954420627803268e-06
106,87,77,5.9543028516776935e-06
107,90,61,5.9542531325130755e-06
108,89,118,5.954183016446436e-06
109,114,31,5.953682077559561e-06
110,102,120,5.953002361803248e-06
111,88,62,5.9517883677830025e-06
112,109,87,5.951015937801917e-06
113,62,95,5.951012887896801e-06
114,119,51,5.950443117530163e-06
115,95,8,5.950418470724711e-06
116,120,63,5.950402699022994e-06
117,61,75,5.949730550016262e-06
118,3,83,5.949463000388287e-06
119,118,114,5.949239057303453e-06
120,60,24,5.947969190799245e-06
121,94,40,5.947520080570561e-06
122,97,20,5.946254254670478e-06
123,0,49,5.945204115433665e-06
124,63,116,5.944073620433046e-06
